Elevator,Maids Room,Built in Kitchen Appliances,Pets Allowed,Natural Gas,Pool,Private Garden,Covered Parking,Electricity Meter,Balcony,Central A/C & heating,Water Meter,Landline,Security,Amenities_ID
0,0,0,0,0,0,0,0,1,0,0,1,1,0,399
0,0,0,0,1,0,0,0,1,0,0,1,0,1,400
1,0,1,0,1,0,0,0,1,1,0,0,0,1,401
1,0,0,0,0,0,0,0,1,0,0,0,1,0,402
1,0,0,1,0,0,0,0,1,0,0,1,1,1,403
1,0,0,0,1,1,0,0,1,1,0,1,0,1,404
0,0,0,1,1,1,1,1,1,1,0,1,1,0,405
0,0,0,1,0,1,0,1,0,1,0,0,0,1,406
1,0,0,0,1,0,1,1,1,1,0,1,0,1,407
0,1,1,1,0,1,1,1,1,1,1,1,0,1,408
0,0,0,0,0,1,1,1,1,1,1,1,0,1,409
1,1,0,1,1,0,0,1,1,1,1,1,0,1,410
1,0,0,0,1,0,1,0,1,0,0,0,1,0,411
0,0,1,1,0,0,1,1,0,1,0,0,0,1,412
0,0,0,0,1,0,0,1,1,0,0,1,1,0,413
1,1,0,0,0,0,1,1,1,0,0,1,0,1,414
0,1,0,1,0,1,0,1,1,1,0,0,0,1,415
0,0,1,0,1,0,0,1,0,1,0,0,0,1,416
0,0,1,0,0,0,0,1,1,1,0,1,0,1,417
0,0,0,1,0,0,0,0,1,1,0,1,0,0,418
0,0,0,1,1,0,0,1,1,0,0,1,0,0,419
0,1,0,0,0,0,1,1,0,1,0,0,0,1,420
0,0,1,0,0,1,1,1,0,1,0,0,0,1,421
0,0,0,1,0,0,0,0,1,1,0,1,0,1,422
1,0,0,1,0,0,0,0,0,1,0,1,1,1,423
1,0,0,0,0,0,0,1,0,0,0,0,0,1,424
0,0,0,1,1,0,1,1,1,0,1,1,1,1,425
1,0,0,1,1,0,0,0,1,0,0,0,0,0,426
0,1,1,1,1,0,1,1,1,1,0,1,1,1,427
0,0,0,0,0,0,1,0,1,1,0,1,0,0,428
1,0,0,1,1,0,0,0,1,1,0,1,1,0,429
0,1,1,1,1,1,0,1,1,1,1,1,1,1,430
0,0,0,0,1,1,1,0,0,1,0,1,0,1,431
1,0,1,1,1,0,0,0,1,0,1,1,1,1,432
1,0,1,1,1,0,0,1,1,1,0,1,1,1,433
1,0,0,0,1,0,0,0,1,1,1,1,1,1,434
0,0,1,0,0,0,1,1,0,1,0,0,0,1,435
0,0,0,1,1,0,1,1,1,0,0,1,0,0,436
0,0,1,1,1,0,0,0,1,1,0,0,0,1,437
1,1,1,0,1,0,0,1,1,0,0,1,1,1,438
1,0,0,1,0,0,0,0,1,1,0,1,1,1,439
0,0,0,1,1,0,1,1,1,0,0,0,1,1,440
0,0,1,0,0,0,0,1,0,0,0,0,0,0,441
0,0,0,1,0,1,0,1,0,1,0,0,0,0,442
0,0,0,1,1,0,1,0,1,1,0,1,0,1,443
0,0,0,1,0,1,1,1,1,0,0,0,0,0,444
0,0,0,1,0,0,1,0,1,1,0,1,0,0,445
1,0,0,1,1,0,0,1,1,0,0,1,1,1,446
0,0,0,1,0,0,0,1,0,0,0,0,0,1,447
0,0,0,0,1,0,0,0,1,1,0,1,1,0,448
0,0,0,1,0,1,1,0,0,1,0,0,0,1,449
0,0,0,0,1,1,0,0,0,0,0,0,1,0,450
